"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-11","3-10","60+","1-2","60+","Home",0
"2020-11","1-2","16-59","3-10","60+","Home",0
"2020-11","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-11","1-2","60+","3-10","60+","Home",0
"2020-11","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-11","1-2","16-59","1-2","16-59","Other",4283786.19116656
"2020-11","3-10","16-59","1-2","16-59","Other",4145504.68156889
"2020-11","1-2","60+","1-2","16-59","Other",667191.89644665
"2020-11","3-10","60+","1-2","16-59","Other",818627.754531701
"2020-11","1-2","16-59","3-10","16-59","Other",4171793.47482286
"2020-11","3-10","16-59","3-10","16-59","Other",29590492.9784025
"2020-11","1-2","60+","3-10","16-59","Other",645654.803203711
"2020-11","3-10","60+","3-10","16-59","Other",5806519.17900233
"2020-11","1-2","16-59","1-2","60+","Other",667191.89644665
"2020-11","3-10","16-59","1-2","60+","Other",645654.803203711
"2020-11","1-2","60+","1-2","60+","Other",242644.896687709
"2020-11","3-10","60+","1-2","60+","Other",297719.213890241
"2020-11","1-2","16-59","3-10","60+","Other",818627.754531701
"2020-11","3-10","16-59","3-10","60+","Other",5806519.17900233
"2020-11","1-2","60+","3-10","60+","Other",271430.420636268
"2020-11","3-10","60+","3-10","60+","Other",2441034.95454349
"2020-12","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-12","3-10","16-59","1-2","16-59","Home",0
"2020-12","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-12","3-10","60+","1-2","16-59","Home",0
"2020-12","1-2","16-59","3-10","16-59","Home",0
"2020-12","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-12","1-2","60+","3-10","16-59","Home",0
"2020-12","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-12","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-12","3-10","16-59","1-2","60+","Home",0
"2020-12","1-2","60+","1-2","60+","Home",272834.210196039
"2020-12","3-10","60+","1-2","60+","Home",0
"2020-12","1-2","16-59","3-10","60+","Home",0
"2020-12","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-12","1-2","60+","3-10","60+","Home",0
"2020-12","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-12","1-2","16-59","1-2","16-59","Other",4119846.60824415
"2020-12","3-10","16-59","1-2","16-59","Other",3583220.39471544
"2020-12","1-2","60+","1-2","16-59","Other",641658.60501903
"2020-12","3-10","60+","1-2","16-59","Other",707591.449301647
"2020-12","1-2","16-59","3-10","16-59","Other",3605943.45194871
"2020-12","3-10","16-59","3-10","16-59","Other",27346052.0107974
"2020-12","1-2","60+","3-10","16-59","Other",558080.049715431
"2020-12","3-10","60+","3-10","16-59","Other",5366094.29206145
"2020-12","1-2","16-59","1-2","60+","Other",641658.60501903
"2020-12","3-10","16-59","1-2","60+","Other",558080.049715431
"2020-12","1-2","60+","1-2","60+","Other",233358.928297582
"2020-12","3-10","60+","1-2","60+","Other",257337.439239467
"2020-12","1-2","16-59","3-10","60+","Other",707591.449301647
"2020-12","3-10","16-59","3-10","60+","Other",5366094.29206145
"2020-12","1-2","60+","3-10","60+","Other",234614.382006193
"2020-12","3-10","60+","3-10","60+","Other",2255882.28205059
"2021-01","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2021-01","3-10","16-59","1-2","16-59","Home",0
"2021-01","1-2","60+","1-2","16-59","Home",807094.877052283
"2021-01","3-10","60+","1-2","16-59","Home",0
"2021-01","1-2","16-59","3-10","16-59","Home",0
"2021-01","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2021-01","1-2","60+","3-10","16-59","Home",0
"2021-01","3-10","60+","3-10","16-59","Home",3676926.71318757
"2021-01","1-2","16-59","1-2","60+","Home",807094.877052283
"2021-01","3-10","16-59","1-2","60+","Home",0
"2021-01","1-2","60+","1-2","60+","Home",272834.210196039
"2021-01","3-10","60+","1-2","60+","Home",0
"2021-01","1-2","16-59","3-10","60+","Home",0
"2021-01","3-10","16-59","3-10","60+","Home",3676926.71318757
"2021-01","1-2","60+","3-10","60+","Home",0
"2021-01","3-10","60+","3-10","60+","Home",1532422.13245002
"2021-01","1-2","16-59","1-2","16-59","Other",4117864.3171546
"2021-01","3-10","16-59","1-2","16-59","Other",2625306.40320726
"2021-01","1-2","60+","1-2","16-59","Other",641349.866792535
"2021-01","3-10","60+","1-2","16-59","Other",518428.719998912
"2021-01","1-2","16-59","3-10","16-59","Other",2641954.83145994
"2021-01","3-10","16-59","3-10","16-59","Other",23511926.6263443
"2021-01","1-2","60+","3-10","16-59","Other",408886.690358465
"2021-01","3-10","60+","3-10","16-59","Other",4613726.88149563
"2021-01","1-2","16-59","1-2","60+","Other",641349.866792535
"2021-01","3-10","16-59","1-2","60+","Other",408886.690358465
"2021-01","1-2","60+","1-2","60+","Other",233246.646125886
"2021-01","3-10","60+","1-2","60+","Other",188542.5825374
"2021-01","1-2","16-59","3-10","60+","Other",518428.719998912
"2021-01","3-10","16-59","3-10","60+","Other",4613726.88149563
"2021-01","1-2","60+","3-10","60+","Other",171894.15428472
"2021-01","3-10","60+","3-10","60+","Other",1939590.35374836
